word,translation,count
pensé,I thought,159438
sabía,I knew,156439
cabeza,head,156069
ah,ah,156002
cariño,sweetie,153353
digo,I say,153149
van,go,153024
hombres,mens,151647
buenas,good,151571
somos,we are,151256
cualquier,any,150946
forma,shape,150750
mientras,While,150383
lado,side,149162
debo,I must,148975
sería,would,148309
caso,case,148273
pueden,may,148183
pasó,He passed,145810
primera,first,145110
genial,great,145028
chico,boy,145009
supuesto,supposed,144428
hice,I did,144174
pues,well,143870
adiós,goodbye,143677
muchas,many,143007
personas,people,141945
señora,Ms,141893
volver,return,141009
esas,those,140885
quizá,maybe,140794
contra,against,140485
camino,way,140092
durante,during,139987
hablando,talking,139007
manera,way,137722
muerto,dead,137301
persona,person,136985
rápido,Quick,136953
cuál,which,136406
ayuda,help,136155
historia,history,135924
iba,I was going,135256
supongo,I suppose,134885
nueva,new,134490
entiendo,I get it,134138
dentro,inside,133954
casi,almost,133614
puerta,door,133533
ves,you see,133094
pasar,pass,131693
primero,First,131298
significa,it means,130774
semana,week,130555
hacia,toward,130000
quizás,maybe,129544
espero,I hope,129454
juntos,together,129353
año,year,128910
niños,children,128856
pronto,soon,128135
tío,uncle,127895
suerte,luck,127246
ciudad,city,126710
siquiera,at least,126506
feliz,happy,125692
venir,come,124376
hija,daughter,124289
gustaría,would like,124196
minutos,minutes,123912
cuánto,how much,123138
os,you,122754
hey,hey,122432
muerte,death,122057
dejar,leave,121779
realidad,reality,121027
deja,let,120259
problemas,problems,120138
vi,saw,119856
da,gives,119199
importante,important,119177
dijiste,said,119038
corazón,heart,118685
miedo,fear,118624
jefe,chief,118458
agua,Water,117654
haré,I will do,117579
justo,fair,117044
horas,hours,116873
poder,power,115246
buenos,good ones,115064
esposa,wife,114925
manos,hands,114921
debes,you must,114812
viene,comes,114395
venga,come on,114109
nuestros,our,114018
ojos,eyes,113772
adelante,ahead,113192
encontrar,find,113028
mano,hand,112665
cinco,five,112532
niño,child,112512
ninguna,none,112227
otros,others,112169
cara,expensive,111953
cuidado,watch out,111524
bajo,low,111241
cerca,close,110690
viejo,old,110403
déjame,let me,109679
noches,nights,109592
bastante,quite,109431
fin,end,109402
tomar,drink,109183
único,only,108435
misma,same,108033
escucha,listens,107286
ningún,any,107193
suficiente,enough,107106
punto,point,106940
cuándo,when,106920
sigue,follow,106764
haya,beech,106729
equipo,team,106584
grande,big,106057
necesita,needs to,105889
llegar,to get,105719
incluso,even,105304
algunos,Some,105052
doctor,doctor,104991
difícil,hard,104985
aunque,though,104655
hubiera,had,104473
primer,first,104138
coche,car,103946
hago,I make,103901
clase,class,103827
cuatro,four,103805
mas,more,103445
dices,say,103279
pequeño,little,103016
llama,call,102848
toma,taking,102733
hiciste,did,102722
allá,there,102642
última,last,102333
arriba,above,102254
tierra,land,102197
guerra,war,101887
pensar,think,101695
pueda,can,101487
igual,same,101272
loco,crazy,100021
sangre,blood,99844
mujeres,women,99536
vuelta,return,99529
fui,I was,99366
trabajar,to work,99262
tenido,had,99237
juego,game,99041
deberías,you should,98960
cuerpo,Body,98410
e,and,96622
algunas,some,96075
entrar,get in,95899
cree,cree,95859
podía,I could,95527
debemos,we must,95445
oportunidad,opportunity,95375
teléfono,telephone,95015
necesitamos,we need,94964
final,final,94883
listo,ready,94769
fiesta,party,94739
muchos,Many,94250
estabas,you were,94097
quieren,they want,94018
vete,go away,93782
auto,car,93654
dar,give,92706
vivir,live,92629
posible,possible,92449
ok,okay,92398
hermana,sister,92291
número,number,92183
meses,months,92062
exactamente,exactly,91598
culpa,guilt,91506
abajo,down,91298
escuela,school,90725
ido,gone,90670
fuerte,strong,90226
diciendo,saying,90048
habla,speaks,90023
esté,this,89826
ello,it,89741
pregunta,question,89617
chicas,girls,89467
eran,they were,89418
unas,nail,89043
pasando,going,88887
atrás,behind,88877
malo,bad,88555
capitán,captain,88550
sra.,Mrs.,88400
bebé,baby,88307
segundo,second,88232
sabemos,we know,87714
mayor,higher,87707
comida,food,87661
morir,To die,87614
conozco,I know,87429
dame,give to me,87200
fácil,easy,87099
comer,eat,86671
vino,came,86406
lista,list,86033
haga,make,85884
necesitas,you need,85706
hijos,children,85020
probablemente,probably,84911
padres,parents,84855
habitación,room,84704
creer,believe,84624
pensando,thinking,84438
fueron,were,84181
dime,tell me,84079
trata,about,83906
buscando,searching,83655
tuve,I had,83608
tampoco,neither,83595
amo,love,83156
joven,young,82919
podrías,could you,82328
sola,alone,82229
par,pair,81901
única,only,81808
hacen,make,81807
seguir,follow,81723
dr.,dr.,81308
simplemente,simply,80350
dicen,say,80310
medio,"means, medium",80278
puta,bitch,80176
saben,they know,79988
sentido,sense,79686
hagas,you do,79398
segura,safe,79393
esperar,wait,79115
lejos,far,79091
arma,weapon,78974
alto,high,78496
pequeña,little,78191
dólares,Dollars,77319
seis,six,77064
estaban,They were,76916
seguridad,security,76807
maldita,damn,76765
estuvo,he was,76639
preocupes,worry,76606
palabra,word,76589
esperando,waiting,76353
queda,remains,76150
oficina,office,75697
matar,kill,75652
iré,I will go,75521
cama,bed,75441
además,Besides,75259
último,latest,75205
oído,ear,75123
habría,there would be,74848
estará,will be,74836
dio,it gave,74745
recuerdo,memory,74344
siendo,being,74265
acerca,about,74051
tenga,have,73994
luz,light,73886
correcto,Right,73881
ud.,You.,73708
demonios,got damn,73485
nuestras,our,73354
verte,to see you,73227
dormir,sleep,73064
sitio,site,73036
ayudar,help,72837
conseguir,get,72697
di,gave,72555
marido,husband,72210
paz,peace,72000
idiota,moron,71856
plan,plan,71640
dado,dice,71249
cuanto,how much,71197
peor,worst,70692
murió,died,70466
pueblo,village,70465
vivo,alive,70329
venido,I come,70151
john,john,69978
basta,Enough,69973
paso,He passed,69865
deberíamos,we should,69574
música,music,69241
diga,tell,68941
minuto,minute,68878
anoche,last night,68870
llamar,to call,68861
piensa,think,68552
país,country,68539
digas,you say,68227
rey,king,67803
perdón,sorry,67516
mucha,a lot,67426
falta,lack,67152
pienso,I think,67140
diablos,Devils,67119
perdido,lost,66882
niña,little girl,66672
señorita,miss,66491
diez,ten,66429
lleva,carries,66407
hospital,hospital,66316
grandes,big,66186
maldito,damned,66025
otras,other,65924
llamado,called,65650
hacemos,we make,65535
llevar,wear,65446
fuego,fire,65442
aqui,here,65202
tuvo,He had,65130
poner,place,64740
calle,Street,64675
acaba,just,64600
prueba,proof,64593
increíble,amazing,64527
real,real,64511
libro,book,64445
orden,order,64437
semanas,weeks,64300
especial,special,64240
mía,mine,64132
café,coffee,63914
duro,Lasted,63800
empezar,start,63463
afuera,outside,63387
queremos,we want,63319
perro,dog,63070
cielo,sky,62981
jack,Jack,62965
puesto,Market Stall,62949
viaje,trip,62667
detrás,behind,62621
cuarto,fourth,62590
querida,Dear,62549
haría,would do,62547
preguntas,questions,62505
piensas,think,62433
querido,Dear,62425
libre,free,62421
buscar,look for,62319
cual,which,62288
diré,I will say,62193
suena,it sounds,62170
jugar,to play,62132
cambio,change,62106
película,movie,61985
millones,millions,61876
habrá,there will be,61821
llamada,call,61791
resto,rest,61752
vemos,we see,61545
extraño,strange,61249
mala,bad,61177
presidente,President,61090
srta.,Ms.,60636
irme,leave,60622
ropa,clothing,60542
perder,to lose,60378
vuelve,returns,60172
agente,agent,60171
palabras,words,60090
información,information,60090
raro,rare,60086
hará,will,59965
entiendes,You understand,59914
éste,this,59792
trabajando,working,59674
tratando,trying,59643
general,general,59593
trato,treatment,59469
usar,use,59267
perfecto,perfect,59208
derecho,law,59164
modo,mode,59041
ayer,Yesterday,59013
conoces,know,58941
demás,the rest,58811
quieras,want,58704
podríamos,we could,58548
noticias,news,58530
asesino,assassin,58507
encontrado,found,57581
control,control,57479
odio,hate,57427
frente,front,57371
sexo,sex,57281
decirle,tell,57135
estaré,I will be,57085
divertido,funny,56908
armas,weapons,56785
recuerdas,remember,56669
amiga,friend,56665
grupo,group,56638
asunto,affair,56622
acabo,finished,56586
mensaje,message,56126
encima,above,56110
atención,Attention,56092
diferente,different,56028
uh,uh,55996
cállate,shut up,55856
daño,hurt,55599
sucede,happens,55572
cambiar,change,55360
siguiente,following,55300
sino,if not,55136
the,the,54966
seas,be,54799
médico,doctor,54547
boca,mouth,54512
dejó,left,54435
error,error,54414
jamás,Never,54158
largo,long,53833
pena,pain,53618
voz,voice,53574
futuro,future,53557
siente,feels,53518
secreto,secret,53504
baño,bathroom,53455
mil,thousand,53364
decirte,tell you,53207
sam,sam,53082
pensaba,thought,53018
novia,girlfriend,52984
propia,own,52973
sueño,dream,52956
haz,make,52344
fuerza,strength,52316
deben,should,52297
supone,supposed,52250
estábamos,we were,52003
ambos,both of them,51916
ay,Oh,51890
estuve,I was,51592
encontré,I found,51507
vuelto,turned,51505
dolor,pain,51283
dile,tell him,51271
encanta,love,51240
edad,age,51163
darle,give him,51120
pie,foot,51066
negro,black,50987
ganar,win,50970
york,york,50964
aire,air,50788
lamento,lament,50766
verlo,see him,50765
asesinato,murder,50759
vio,he saw,50756
adónde,where,50674
llegado,arrived,50534
disculpe,sorry,50520
s,s,50469
cita,appointment,50399
estaría,It would,50270
fuiste,you were,50201
sistema,system,50050
gusto,taste,50039
pobre,poor,50019
negocio,deal,49896
mente,mind,49842
tuyo,of yours,49799
campo,field,49614
mire,Look,49575
situación,situation,49426
tras,after,49345
hotel,hotel,49177
vosotros,you,49111
funciona,works,48956
foto,Photo,48915
abogado,attorney,48914
loca,crazy,48859
propio,own,48844
alrededor,around,48767
próxima,next,48701
terminado,finished,48673
hablas,speak,48652
pagar,pay,48636
mató,he killed,48583
llamo,I call,48473
personal,personal,48419
sientes,you feel,48410
ocurre,occurs,48364
ésta,this,48338
recuerda,remember,48335
mitad,half,48317
quiera,want,48299
pelo,hair,48293
tenías,had,48183
viste,dresses,47962
oficial,official,47960
llegó,I arrive,47852
compañía,company,47842
relación,relationship,47824
conoce,known,47688
pase,pass,47622
montón,heap,47610
mejores,top,47509
creí,thought,47494
cena,Dinner,47357
sentir,feel,47337
través,through,47295
accidente,accident,47117
i,i,46981
ellas,they,46892
caja,box,46635
tranquilo,quiet,46587
bonito,beautiful,46554
eras,ages,46544
asi,So,46535
pudo,could,46533
vive,lives,46462
vista,view,46461
estúpido,stupid,46441
línea,line,46341
caballeros,gentlemen,46158
haremos,will,46119
dan,give,46063
quédate,stay,46054
tienda,store,45913
comprar,to buy,45899
entendido,it is understood,45877
centro,center,45864
salvo,except,45755
mes,month,45648
joe,joe,45615
sol,Sun,45567
tonto,fool,45479
hambre,hungry,45455
michael,Michael,45411
mesa,table,45409
respuesta,reply,45345
completamente,completely,45342
david,David,45220
carta,letter,45152
totalmente,totally,45016
imposible,impossible,44898
pruebas,tests,44861
novio,boyfriend,44832
normal,normal,44793
gustan,like,44761
frank,frank,44615
pude,I could,44614
charlie,charlie,44589
traje,suit,44234
dirección,direction,44229
siete,seven,44169
dijeron,they said,44151
placer,pleasure,44038
sean,are,43979
tendrá,will have,43656
barco,ship,43597
blanco,White,43530
tom,tom,43467
profesor,professor,43370
servicio,service,43358
muchacho,boy,43295
reunión,meeting,43217
dejado,left,43162
ley,law,43043
quisiera,I would like,42974
hubo,there was,42830
george,george,42765
programa,Program,42763
carrera,career,42759
cumpleaños,birthday,42596
muchachos,boys,42571
culo,ass,42470
canción,song,42468
hermosa,beautiful,42438
universidad,college,42412
boda,wedding,42403
decirme,tell me,42378
cualquiera,anyone,42369
tengas,you have,42271
hacía,toward,42256
estés,re,42240
sala,room,42122
llevo,I wear,42084
decisión,decision,42011
espere,Wait,42008
don,Don,41978
necesario,necessary,41752
sal,Salt,41725
entra,enters,41706
prisa,rush,41706
carajo,fuck,41656
embargo,embargo,41642
interesante,interesting,41640
tendrás,you will have,41583
escuchar,hear,41472
abuela,grandmother,41377
hicieron,they made,41321
detective,detective,41299
horrible,horrible,41259
suelo,floor,41247
fotos,Photos,41245
cárcel,jail,41152
acá,here,41151
io,io,41134
mike,mike,41066
siéntate,Sit down,40993
decía,He said,40982
intentando,trying,40706
vámonos,Let's go,40700
maldición,damn,40681
silencio,silence,40675
muerta,dead,40660
capaz,able,40541
salió,he left,40377
club,club,40360
terminar,end up,40338
temo,fear,40288
broma,joke,40281
gobierno,government,40236
prometo,I promise,40224
cámara,camera,40045
media,half,39998
terrible,terrible,39993
llamó,I call,39922
regalo,present,39903
amable,nice,39841
dulce,sweet,39818
muertos,dead,39809
querías,wanted,39797
ataque,attack,39782
das,you give,39589
navidad,Christmas,39589
negocios,business,39553
pudiera,could,39528
ocho,eight,39524
avión,plane,39484
investigación,investigation,39465
acabó,finished,39429
juro,I swear,39329
mantener,keep,39327
ejército,army,39290
papel,paper,39262
partes,parts,39255
ten,ten,39243
gracioso,funny,39166
diría,would say,39163
principio,beginning,39155
delante,in front,38898
teniente,lieutenant,38628
deseo,wish,38627
vayas,go,38593
nave,ship,38459
sale,comes out,38407
basura,garbage,38280
vine,came,38168
contacto,Contact,38028
esposo,husband,38011
tren,train,37976
encontramos,we find,37952
dale,Go ahead,37876
verdadero,true,37844
tuya,yours,37837
alma,soul,37824
hazlo,do it,37804
disculpa,Sorry,37801
junto,together,37794
anda,anda,37779
tendré,I will have,37662
matrimonio,marriage,37656
saberlo,I know,37540
locura,madness,37525
oro,gold,37500
permiso,Excuse me,37465
director,director,37428
peligro,danger,37415
libertad,freedom,37412
alegro,glad,37403
baja,low,37298
tendremos,we will have,37262
derecha,right,37262
encuentra,find,37241
pies,feet,37222
segunda,second,37192
maravilloso,wonderful,37115
espacio,space,37114
rato,little while,37101
abuelo,grandfather,37062
esperaba,I expected,37031
mirando,looking,37030
salud,Health,37016
sorpresa,surprise,37012
ninguno,none,37007
miren,look,37000
triste,sad,36968
aun,yet,36908
pensado,thought-out,36904
maestro,teacher,36887
según,according,36882
infierno,hell,36835
podrían,could,36824
tipos,types,36703
tía,aunt,36607
crimen,crime,36579
conocido,known,36564
consejo,advice,36446
ante,before,36426
iglesia,church,36300
